Entreprise;Secteur;Ville;Code Postal;Departement;Effectif;Site Web;Email;Email;EmailSource;Confiance;Note;MX
PROTEC-ELEC;Électricité;PARIS;75008;75;10-19 sal.;http://www.protec-elec.fr/;contact@protec-elec.fr;contact@protec-elec.fr;scrape;haute;;ok
SEBASTELEC;Électricité;PARIS;75009;75;10-19 sal.;http://sebastelec.com/;contact@sebastelec.com;contact@sebastelec.com;scrape;haute;;ok
B & D CONCEPT;Électricité;SAINT-MAURICE;94410;75;10-19 sal.;https://www.bd-concept.fr/;contact@bd-concept.fr;contact@bd-concept.fr;scrape;haute;;ok
M2E TERRITOIRES - M2ET;Électricité;PARIS;75001;75;20-49 sal.;https://m2esa.fr/;m2e@m2esa.fr;m2e@m2esa.fr;scrape;haute;;ok
SOMSOU-PONS;Plomberie;PARIS;75016;75;20-49 sal.;http://www.somsoupons.fr/;direction@somsoupons.fr;direction@somsoupons.fr;scrape;haute;;ok
S N E A;Plomberie;VALENTON;94460;75;20-49 sal.;https://ortec-group.com/agences/snea/?utm_source=gmb;contact@snea.fr;contact@snea.fr;scrape;haute;;ok
HOUDRY GRENOT;Plomberie;PARIS;75017;75;20-49 sal.;http://www.houdry-grenot.com/;hg@houdry-grenot.com;hg@houdry-grenot.com;scrape;haute;;ok
SADAKA;Plomberie;VANVES;92170;75;20-49 sal.;http://entsadaka.fr/;operations@entsadaka.fr;operations@entsadaka.fr;scrape;haute;;ok
LME;CVC/Thermique;CHARENTON-LE-PONT;94220;75;10-19 sal.;https://lamaisonecolo.fr/;contact@lamaisonecolo.fr;contact@lamaisonecolo.fr;scrape;haute;;ok
ALLIANCE GAZ;CVC/Thermique;PARIS;75013;75;10-19 sal.;https://www.alliancegaz.paris/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=profile_alliancegaz;contact@alliancegaz.fr;contact@alliancegaz.fr;scrape;haute;;ok
RAVELLI CLIMAT-SERVICE;CVC/Thermique;PARIS 11;75011;75;10-19 sal.;http://thermoclimatisation.fr/;contact@thermoclimatisation.fr;contact@thermoclimatisation.fr;scrape;haute;;ok
GESCLIN;CVC/Thermique;CLICHY;92110;75;20-49 sal.;http://www.gesclim.com/;contact@gesclim.com;contact@gesclim.com;scrape;haute;;ok
SAUVAGET SAS;CVC/Thermique;PARIS;75015;75;20-49 sal.;http://www.sauvaget.com/;bonjour@sauvaget.com;bonjour@sauvaget.com;scrape;haute;;ok
C3A AGENCEMENT;Menuiserie bois;CHANTELOUP-LES-VIGNES;78570;75;10-19 sal.;http://www.c3a-agencement.com/;m.dejesus@c3a-agencement.com;m.dejesus@c3a-agencement.com;scrape;haute;;ok
ISO STORE;Menuiserie bois;LE CHESNAY-ROCQUENCOURT;78150;75;20-49 sal.;https://isostore.fr/magasin/le-chesnay/;contact@isostore.fr;contact@isostore.fr;scrape;haute;;ok
